,Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
0,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10007,38.55,Other,Other: explntion
1,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10007,49,Other,Other: explntion
2,2009,1286,"Kevin,Coenen",Limited Liability Company,New York,NY,10106,30,Other,Other: explntion
3,2009,1286,"Kevin,Coenen",Limited Liability Company,New York,NY,10106,30,Other,Other: explntion
4,2009,260,"William,Thompson, Jr.",Corporation,Beverly Hills,CA,,21,Other,Other: explntion
5,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10022,962.85,Fundraising,Fundraising
6,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10022,1905,Fundraising,Fundraising
7,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10003,600,Fundraising,Fundraising
8,2009,605,"Michael,Bloomberg",Limited Liability Company,Astoria,NY,11105,150,Other,Other: explntion
9,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,3800,Office Rent,Office Rent
10,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,-3800,,
11,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,3800,Office Rent,Office Rent
12,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,3800,Office Rent,Office Rent
13,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,3800,Office Rent,Office Rent
14,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,3800,Office Rent,Office Rent
15,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,3800,Office Rent,Office Rent
16,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,3800,Office Rent,Office Rent
17,2009,605,"Michael,Bloomberg",Corporation,Brooklyn,NY,11234,3800,Office Rent,Office Rent
18,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,-4000,,
19,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,4000,Office Rent,Office Rent
20,2009,605,"Michael,Bloomberg",Limited Liability Company,Bronx,NY,10461,243.28,Office Expenses,Office Expenses
