Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
2013,1752,"Abiodun,Laurel-Smith",Corporation,New York,NY,10001,54.43,Office Expenses,Office Expenses
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10019,19.8,Other,Other: explntion
2013,,"John,Liu",Limited Liability Company,Flushing,NY,11355,110,Office Expenses,Office Expenses
2013,,"John,Liu",Limited Liability Company,Flushing,NY,11355,250,Fundraising,Fundraising
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,10018,57.01,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,10018,39,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,10018,64,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,10018,93.02,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,10018,79,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,10018,512.04,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10026,46,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10026,88.72,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10036,22,Other,Other: explntion
2013,326,"Bill,de Blasio",Political Action Committee,New York,NY,10036,19084.25,Other,Other: explntion
2013,326,"Bill,de Blasio",Political Action Committee,New York,NY,10036,168.31,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Political Action Committee,New York,NY,10036,60,Professional Services,Prof. Srvcs.
2013,,"Sal,Albanese",Corporation,,,,122.39,Office Expenses,Office Expenses
2013,,"Sal,Albanese",Corporation,,,,20,Professional Services,Prof. Srvcs.
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10019,22,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10019,34,Other,Other: explntion
2013,326,"Bill,de Blasio",Limited Liability Company,New York,NY,,11,Fundraising,Fundraising
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,,44,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,,43,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,,27,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,,45,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,,45,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,,42,Other,Other: explntion
2013,326,"Bill,de Blasio",Corporation,,,,500,Fundraising,Fundraising
2013,1690,"Joseph,Lhota",Other,New York,NY,10009,112,Other,Other: explntion
2013,1690,"Joseph,Lhota",Other,New York,NY,10009,70,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10018,40,Other,Other: explntion
2013,204,"Christine,Quinn",Corporation,Montclair,NJ,7042,1083,Fundraising,Fundraising
2013,326,"Bill,de Blasio",Corporation,,,,70.75,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,10003,27,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10016,32,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10010,40,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,,13,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,,13,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10022,15,Other,Other: explntion
2013,,"Anthony,Weiner",Corporation,New York,NY,10036,5,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,New York,NY,10001,21,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10003,16,Other,Other: explntion
2013,326,"Bill,de Blasio",Corporation,New York,NY,,233.65,Fundraising,Fundraising
2013,204,"Christine,Quinn",Corporation,New York,NY,10007,279.9,Office Expenses,Office Expenses
2013,260,"William,Thompson, Jr.",Corporation,Bronx,NY,10461,45,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10019,20,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,New York,NY,10019,26,Other,Other: explntion
2013,326,"Bill,de Blasio",Corporation,New York,NY,10013,650,Fundraising,Fundraising
2013,1666,"Erick,Salgado",Corporation,Los Angeles,CA,90007,47,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,Los Angeles,CA,90007,56,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,Los Angeles,CA,90007,56,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,Los Angeles,CA,90007,56,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,Los Angeles,CA,90007,28,Other,Other: explntion
