,Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
0,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10007.0,38.55,Other,Other: explntion
1,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10007.0,49.0,Other,Other: explntion
2,2009,1286,"Kevin,Coenen",Limited Liability Company,New York,NY,10106.0,30.0,Other,Other: explntion
3,2009,1286,"Kevin,Coenen",Limited Liability Company,New York,NY,10106.0,30.0,Other,Other: explntion
4,2009,260,"William,Thompson, Jr.",Corporation,Beverly Hills,CA,,21.0,Other,Other: explntion
5,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10022.0,962.85,Fundraising,Fundraising
6,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10022.0,1905.0,Fundraising,Fundraising
7,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10003.0,600.0,Fundraising,Fundraising
8,2009,260,"William,Thompson, Jr.",Limited Liability Company,Astoria,NY,11106.0,100.0,Television Ads,Television Ads.
9,2009,260,"William,Thompson, Jr.",Party Committee,Brooklyn,NY,11234.0,150.0,Printing Expenses,Print Ads
10,2009,51,"Tony,Avella",Corporation,Whitestone,NY,11357.0,1029.57,Fundraising,Fundraising
11,2009,260,"William,Thompson, Jr.",Corporation,Lawrence,NY,11559.0,400.0,Printing Expenses,Print Ads
12,2009,260,"William,Thompson, Jr.",Corporation,Lawrence,NY,11559.0,400.0,Printing Expenses,Print Ads
13,2009,260,"William,Thompson, Jr.",Party Committee,Queens,NY,11364.0,150.0,Printing Expenses,Print Ads
14,2009,260,"William,Thompson, Jr.",Party Committee,Queens,NY,11364.0,200.0,Printing Expenses,Print Ads
15,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10004.0,883.99,Other,Other: explntion
16,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10003.0,54.0,Other,Other: explntion
17,2009,260,"William,Thompson, Jr.",Corporation,Albany,NY,12207.0,753.39,Fundraising,Fundraising
18,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10040.0,400.0,Other,Other: explntion
19,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10019.0,35.0,Other,Other: explntion
20,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10007.0,28.0,Other,Other: explntion
21,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11204.0,157.0,Fundraising,Fundraising
22,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11217.0,112.5,Other,Other: explntion
23,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10003.0,48.18,Other,Other: explntion
24,2009,260,"William,Thompson, Jr.",Individual,Ridgewood,NY,11385.0,90.0,Campaign Workers Salaries,Campgn Wrkrs $$
25,2009,51,"Tony,Avella",Individual,Brooklyn,NY,11222.0,400.0,Campaign Consultants,Campgn Consuls.
26,2009,260,"William,Thompson, Jr.",Corporation,Long Island City,NY,11101.0,379.31,Fundraising,Fundraising
27,2009,260,"William,Thompson, Jr.",Corporation,Long Island City,NY,11101.0,487.69,Fundraising,Fundraising
28,2009,260,"William,Thompson, Jr.",Individual,Bronx,NY,10473.0,90.0,Campaign Workers Salaries,Campgn Wrkrs $$
29,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11226.0,90.0,Campaign Workers Salaries,Campgn Wrkrs $$
30,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11226.0,240.0,Campaign Workers Salaries,Campgn Wrkrs $$
31,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11222.0,90.0,Campaign Workers Salaries,Campgn Wrkrs $$
32,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11222.0,240.0,Campaign Workers Salaries,Campgn Wrkrs $$
33,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11226.0,90.0,Campaign Workers Salaries,Campgn Wrkrs $$
34,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11226.0,160.0,Interest Expenses,Interest Expns.
35,2009,260,"William,Thompson, Jr.",Individual,Bronx,NY,10453.0,90.0,Campaign Workers Salaries,Campgn Wrkrs $$
36,2009,260,"William,Thompson, Jr.",Individual,,,,300.0,Campaign Workers Salaries,Campgn Wrkrs $$
37,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11225.0,73.72,Office Expenses,Office Expenses
38,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10001.0,9188.9,Fundraising,Fundraising
39,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10018.0,950.0,Printing Expenses,Print Ads
40,2009,260,"William,Thompson, Jr.",Individual,Queens,NY,11375.0,204.0,Fundraising,Fundraising
41,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10024.0,541.0,Fundraising,Fundraising
42,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11233.0,400.0,Fundraising,Fundraising
43,2009,260,"William,Thompson, Jr.",Individual,Staten Island,NY,10303.0,70.0,Campaign Workers Salaries,Campgn Wrkrs $$
44,2009,260,"William,Thompson, Jr.",Corporation,Lynbrook,NY,11563.0,2.0,Other,Other: explntion
45,2009,260,"William,Thompson, Jr.",Corporation,Lynbrook,NY,11563.0,832.0,Other,Other: explntion
46,2009,260,"William,Thompson, Jr.",Corporation,Corona,NY,11368.0,113.65,Fundraising,Fundraising
47,2009,260,"William,Thompson, Jr.",Individual,,,,470.0,Campaign Workers Salaries,Campgn Wrkrs $$
48,2009,260,"William,Thompson, Jr.",Individual,Staten Island,NY,10306.0,1000.0,Campaign Workers Salaries,Campgn Wrkrs $$
49,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11228.0,3370.0,Fundraising,Fundraising
50,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11217.0,90.0,Campaign Workers Salaries,Campgn Wrkrs $$
51,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11217.0,90.0,Interest Expenses,Interest Expns.
52,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10011.0,28.0,Other,Other: explntion
53,2009,260,"William,Thompson, Jr.",Corporation,New York,NY,10037.0,250.0,Fundraising,Fundraising
54,2009,260,"William,Thompson, Jr.",Individual,Brooklyn,NY,11210.0,90.0,Campaign Workers Salaries,Campgn Wrkrs $$
55,2009,260,"William,Thompson, Jr.",Individual,,,,100.0,Campaign Workers Salaries,Campgn Wrkrs $$
56,2009,260,"William,Thompson, Jr.",Party Committee,New York,NY,10027.0,300.0,Campaign Consultants,Campgn Consuls.
57,2009,51,"Tony,Avella",Corporation,,,,2660.0,Campaign Literature,Campgn Lit.
58,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,188.99,Other,Other: explntion
59,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,94.5,Other,Other: explntion
60,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,63.57,Other,Other: explntion
61,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,17.98,Other,Other: explntion
62,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,14.63,Other,Other: explntion
63,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,466.26,Other,Other: explntion
64,2009,260,"William,Thompson, Jr.",Corporation,Brooklyn,NY,11234.0,237.07,Other,Other: explntion
