,Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
0,2021,1160,"Ruben,Diaz Jr.",Corporation,New York,NY,10018.0,1300.0,Fundraising,Fundraising
1,2021,1160,"Ruben,Diaz Jr.",Corporation,New York,NY,10018.0,500.0,Other,Other: explntion
2,2021,1160,"Ruben,Diaz Jr.",Limited Liability Company,Bronx,NY,10472.0,350.0,Other,Other: explntion
3,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,5.39,Professional Services,Prof. Srvcs.
4,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,16.13,Professional Services,Prof. Srvcs.
5,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,38.26,Professional Services,Prof. Srvcs.
6,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,27.76,Professional Services,Prof. Srvcs.
7,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,5.25,Professional Services,Prof. Srvcs.
8,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,3.0,Professional Services,Prof. Srvcs.
9,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,2.25,Professional Services,Prof. Srvcs.
10,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,26.78,Professional Services,Prof. Srvcs.
11,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,1.65,Professional Services,Prof. Srvcs.
12,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,4.88,Professional Services,Prof. Srvcs.
13,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,3.0,Professional Services,Prof. Srvcs.
14,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,1.49,Professional Services,Prof. Srvcs.
15,2021,1991,"Aaron,Foldenauer",Corporation,Somerville,MA,2144.0,1.49,Professional Services,Prof. Srvcs.
