Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
2013,1752,"Abiodun,Laurel-Smith",Corporation,9/7/2013,New York,NY,10001,54,Office Expenses,Office Expenses
2013,260,"William,Thompson, Jr.",Corporation,1/17/2012,New York,NY,10019,19,Other,Other: explntion
2013,FI,"John,Liu",Limited Liability Company,7/12/2013,Flushing,NY,11355,110,Office Expenses,Office Expenses
2013,FI,"John,Liu",Limited Liability Company,4/15/2013,Flushing,NY,11355,250,Fundraising,Fundraising
2013,260,"William,Thompson, Jr.",Limited Liability Company,7/8/2013,New York,NY,10018,57,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,4/19/2013,New York,NY,10018,39,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,7/20/2013,New York,NY,10018,64,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,8/19/2013,New York,NY,10018,93,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,8/19/2013,New York,NY,10018,79,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,5/16/2013,New York,NY,10018,512,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,4/18/2013,New York,NY,10026,46,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,8/19/2013,New York,NY,10026,88,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,4/18/2013,New York,NY,10036,22,Other,Other: explntion
2013,326,"Bill,de Blasio",Political Action Committee,9/8/2013,New York,NY,10036,19084,Other,Other: explntion
2013,326,"Bill,de Blasio",Political Action Committee,9/8/2013,New York,NY,10036,168,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Political Action Committee,9/8/2013,New York,NY,10036,60,Professional Services,Prof. Srvcs.
2013,AU,"Sal,Albanese",Corporation,4/5/2013,,,,122,Office Expenses,Office Expenses
2013,AU,"Sal,Albanese",Corporation,12/27/2012,,,,20,Professional Services,Prof. Srvcs.
2013,260,"William,Thompson, Jr.",Corporation,1/17/2012,New York,NY,10019,22,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,8/19/2013,New York,NY,10019,34,Other,Other: explntion
2013,326,"Bill,de Blasio",Limited Liability Company,1/5/2011,New York,NY,,11,Fundraising,Fundraising
2013,260,"William,Thompson, Jr.",Corporation,1/28/2013,New York,NY,,44,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,5/11/2012,New York,NY,,43,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,7/19/2012,New York,NY,,27,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,11/4/2012,New York,NY,,45,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,4/18/2013,New York,NY,,45,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,12/1/2012,New York,NY,,42,Other,Other: explntion
2013,326,"Bill,de Blasio",Corporation,8/21/2013,,,,500,Fundraising,Fundraising
2013,1690,"Joseph,Lhota",Other,8/5/2013,New York,NY,10009,112,Other,Other: explntion
2013,1690,"Joseph,Lhota",Other,7/24/2013,New York,NY,10009,70,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,7/19/2012,New York,NY,10018,40,Other,Other: explntion
2013,204,"Christine,Quinn",Corporation,7/22/2013,Montclair,NJ,07042,1083,Fundraising,Fundraising
2013,326,"Bill,de Blasio",Corporation,12/11/2012,,,,70,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,1/28/2013,New York,NY,10003,27,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,6/4/2012,New York,NY,10016,32,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,2/20/2012,New York,NY,10010,40,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,12/1/2012,New York,NY,,13,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,1/28/2013,New York,NY,,13,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,1/17/2012,New York,NY,10022,15,Other,Other: explntion
2013,BB,"Anthony,Weiner",Corporation,7/29/2013,New York,NY,10036,5,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Limited Liability Company,2/20/2012,New York,NY,10001,21,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,6/4/2012,New York,NY,10003,16,Other,Other: explntion
2013,326,"Bill,de Blasio",Corporation,1/9/2013,New York,NY,,233,Fundraising,Fundraising
2013,204,"Christine,Quinn",Corporation,3/26/2013,New York,NY,10007,279,Office Expenses,Office Expenses
2013,260,"William,Thompson, Jr.",Corporation,5/16/2013,Bronx,NY,10461,45,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,7/25/2011,New York,NY,10019,20,Other,Other: explntion
2013,260,"William,Thompson, Jr.",Corporation,12/1/2012,New York,NY,10019,26,Other,Other: explntion
2013,326,"Bill,de Blasio",Corporation,2/15/2012,New York,NY,10013,650,Fundraising,Fundraising
2013,1666,"Erick,Salgado",Corporation,8/2/2013,Los Angeles,CA,90007,47,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,9/3/2013,Los Angeles,CA,90007,56,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,10/3/2013,Los Angeles,CA,90007,56,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,11/4/2013,Los Angeles,CA,90007,56,Other,Other: explntion
2013,1666,"Erick,Salgado",Corporation,1/14/2013,Los Angeles,CA,90007,28,Other,Other: explntion
