Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
2017,326,"Bill,de Blasio",Corporation,8/14/2017,Brooklyn,NY,11201,518,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,9/21/2017,Brooklyn,NY,11201,1041,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,12/29/2017,Brooklyn,NY,11201,1500,Office Rent,Office Rent
2017,2055,"Roque,De La Fuente",Corporation,7/14/2017,New York,NY,10025,6000,Professional Services,Prof. Srvcs.
2017,2055,"Roque,De La Fuente",Corporation,6/9/2017,New York,NY,10025,6000,Professional Services,Prof. Srvcs.
2017,326,"Bill,de Blasio",Corporation,10/3/2016,New York,NY,10128,262,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,6/7/2017,Brooklyn,NY,11217,800,Fundraising,Fundraising
2017,326,"Bill,de Blasio",Corporation,12/28/2017,Long Island City,NY,11101,1000,Fundraising,Fundraising
2017,326,"Bill,de Blasio",Corporation,9/27/2017,New York,NY,10016,938,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,8/31/2016,New York,NY,10040,21,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,10/19/2016,New York,NY,10040,2000,Fundraising,Fundraising
2017,2054,"Robert,Gangi",Corporation,7/15/2017,New York,NY,10024,780,Campaign Literature,Campgn Lit.
2017,2054,"Robert,Gangi",Corporation,4/5/2017,New York,NY,10024,887,Other,Other: explntion
2017,2054,"Robert,Gangi",Corporation,4/19/2017,New York,NY,10024,26,Other,Other: explntion
2017,2054,"Robert,Gangi",Corporation,5/12/2017,New York,NY,10024,915,Campaign Literature,Campgn Lit.
2017,2054,"Robert,Gangi",Corporation,6/5/2017,New York,NY,10024,437,Campaign Literature,Campgn Lit.
2017,2054,"Robert,Gangi",Corporation,6/5/2017,New York,NY,10024,330,Campaign Literature,Campgn Lit.
2017,2054,"Robert,Gangi",Corporation,6/12/2017,New York,NY,10024,1330,Campaign Literature,Campgn Lit.
2017,326,"Bill,de Blasio",Corporation,10/13/2015,New York,NY,10010,63,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,9/12/2017,Brooklyn,NY,11205,807,Other,Other: explntion
