,Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
0,2005,AY,"Fernando,Ferrer",Corporation,12/19/2005 00:00:00,New York,NY,10011.0,23,Other,Other: explntion
1,2005,AY,"Fernando,Ferrer",Corporation,5/20/2005 00:00:00,New York,NY,10018.0,35,Other,Other: explntion
2,2005,BB,"Anthony,Weiner",Limited Liability Company,2/23/2005 00:00:00,New York,NY,10021.0,4660,Office Rent,Office Rent
3,2005,BB,"Anthony,Weiner",Limited Liability Company,2/23/2005 00:00:00,New York,NY,10021.0,7363,Office Rent,Office Rent
4,2005,BB,"Anthony,Weiner",Limited Liability Company,2/23/2005 00:00:00,New York,NY,10021.0,340,Office Rent,Office Rent
5,2005,BB,"Anthony,Weiner",Limited Liability Company,2/23/2005 00:00:00,New York,NY,10021.0,537,Office Rent,Office Rent
6,2005,BB,"Anthony,Weiner",Limited Liability Company,11/1/2005 00:00:00,New York,NY,10021.0,4048,Office Rent,Office Rent
7,2005,BB,"Anthony,Weiner",Limited Liability Company,7/6/2005 00:00:00,New York,NY,10021.0,4015,Office Rent,Office Rent
8,2005,BB,"Anthony,Weiner",Limited Liability Company,6/9/2005 00:00:00,New York,NY,10021.0,6220,Office Rent,Office Rent
9,2005,BB,"Anthony,Weiner",Limited Liability Company,5/25/2005 00:00:00,New York,NY,10021.0,8004,Office Rent,Office Rent
10,2005,BB,"Anthony,Weiner",Limited Liability Company,8/3/2005 00:00:00,New York,NY,10021.0,4058,Office Rent,Office Rent
11,2005,BB,"Anthony,Weiner",Limited Liability Company,9/12/2005 00:00:00,New York,NY,10021.0,11985,Office Rent,Office Rent
12,2005,BB,"Anthony,Weiner",Limited Liability Company,12/30/2005 00:00:00,New York,NY,10021.0,-3555,,
13,2005,AY,"Fernando,Ferrer",Labor Union,11/4/2005 00:00:00,New York,NY,10036.0,40,Office Rent,Office Rent
14,2005,AY,"Fernando,Ferrer",Labor Union,11/15/2005 00:00:00,New York,NY,10036.0,800,Other,Other: explntion
15,2005,605,"Michael,Bloomberg",Limited Liability Company,6/29/2005 00:00:00,New York,NY,10018.0,90,Office Expenses,Office Expenses
16,2005,605,"Michael,Bloomberg",Limited Liability Company,9/9/2005 00:00:00,New York,NY,10018.0,87,Office Expenses,Office Expenses
17,2005,Y2,"A. Gifford,Miller",Individual,7/22/2005 00:00:00,New York,NY,10038.0,4513,Office Rent,Office Rent
18,2005,Y2,"A. Gifford,Miller",Individual,7/21/2005 00:00:00,New York,NY,10038.0,2257,Office Rent,Office Rent
19,2005,Y2,"A. Gifford,Miller",Individual,8/1/2005 00:00:00,New York,NY,10038.0,1674,Office Rent,Office Rent
20,2005,Y2,"A. Gifford,Miller",Individual,8/1/2005 00:00:00,New York,NY,10038.0,583,Office Expenses,Office Expenses
21,2005,Y2,"A. Gifford,Miller",Individual,9/2/2005 00:00:00,New York,NY,10038.0,978,Office Rent,Office Rent
22,2005,Y2,"A. Gifford,Miller",Individual,9/2/2005 00:00:00,New York,NY,10038.0,1279,Office Rent,Office Rent
23,2005,Y2,"A. Gifford,Miller",Individual,11/1/2005 00:00:00,New York,NY,10038.0,-2257,,
24,2005,605,"Michael,Bloomberg",Corporation,8/23/2005 00:00:00,New York,NY,10040.0,3890,Other,Other: explntion
25,2005,AY,"Fernando,Ferrer",Corporation,7/1/2005 00:00:00,New York,NY,10010.0,3500,Professional Services,Prof. Srvcs.
26,2005,AY,"Fernando,Ferrer",Corporation,5/31/2005 00:00:00,New York,NY,10010.0,3500,Professional Services,Prof. Srvcs.
27,2005,AY,"Fernando,Ferrer",Corporation,3/4/2005 00:00:00,New York,NY,10010.0,2500,Professional Services,Prof. Srvcs.
28,2005,AY,"Fernando,Ferrer",Corporation,2/3/2005 00:00:00,New York,NY,10010.0,2500,Professional Services,Prof. Srvcs.
29,2005,AY,"Fernando,Ferrer",Corporation,5/5/2005 00:00:00,New York,NY,10010.0,3500,Professional Services,Prof. Srvcs.
30,2005,AY,"Fernando,Ferrer",Corporation,4/12/2005 00:00:00,New York,NY,10010.0,2500,Professional Services,Prof. Srvcs.
31,2005,B6,"C. Virginia,Fields",Corporation,7/27/2005 00:00:00,New York,NY,10033.0,1400,Office Rent,Office Rent
32,2005,605,"Michael,Bloomberg",Limited Liability Company,12/5/2005 00:00:00,Brooklyn,NY,11234.0,1497,Office Rent,Office Rent
33,2005,605,"Michael,Bloomberg",Limited Liability Company,1/4/2006 00:00:00,Brooklyn,NY,11234.0,356,Office Expenses,Office Expenses
34,2005,605,"Michael,Bloomberg",Limited Liability Company,10/24/2005 00:00:00,Brooklyn,NY,11234.0,5800,Office Rent,Office Rent
