Election,CandidateID,CandidateName,Date,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose,Amount,MatchAmt,PrevAmt
2009,260,"William,Thompson, Jr.",,Corporation,New York,NY,10007,-38.55,Other,Other: explntion,,,
2009,260,"William,Thompson, Jr.",,Corporation,New York,NY,10007,-49,Other,Other: explntion,,,
2009,1286,"Kevin,Coenen",,Limited Liability Company,New York,NY,10106,-30,Other,Other: explntion,,,
2009,1286,"Kevin,Coenen",,Limited Liability Company,New York,NY,10106,-30,Other,Other: explntion,,,
2009,260,"William,Thompson, Jr.",,Corporation,Beverly Hills,CA,,-21,Other,Other: explntion,,,
2009,260,"William,Thompson, Jr.",,Corporation,New York,NY,10022,-962.85,Fundraising,Fundraising,,,
2009,260,"William,Thompson, Jr.",,Corporation,New York,NY,10022,-1905,Fundraising,Fundraising,,,
2009,260,"William,Thompson, Jr.",,Corporation,New York,NY,10003,-600,Fundraising,Fundraising,,,
2009,605,"Michael,Bloomberg",,Limited Liability Company,Astoria,NY,11105,-150,Other,Other: explntion,,,
2009,605,"Michael,Bloomberg",,Corporation,Brooklyn,NY,11234,-3800,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Corporation,Brooklyn,NY,11234,-3800,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Corporation,Brooklyn,NY,11234,-3800,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Corporation,Brooklyn,NY,11234,-3800,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Corporation,Brooklyn,NY,11234,-3800,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Corporation,Brooklyn,NY,11234,-3800,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Corporation,Brooklyn,NY,11234,-3800,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Corporation,Brooklyn,NY,11234,-3800,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Limited Liability Company,Bronx,NY,10461,-4000,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Limited Liability Company,Bronx,NY,10461,-243.28,Office Expenses,Office Expenses,,,
2009,605,"Michael,Bloomberg",,Limited Liability Company,Bronx,NY,10461,-4000,Office Rent,Office Rent,,,
2009,605,"Michael,Bloomberg",,Limited Liability Company,Bronx,NY,10461,-4000,Office Rent,Office Rent,,,
